galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_compact_finite,v_K_scale_tail_spiral,v_K_exponential_disk,v_K_thick_flared,W_warp,K_z,K_EC,K_lag,K_wvo,wvo_attenuation,delta_v2_wvo,v_wvo_endpoint,endpoint_scores_allowed,claim_boundary,radial_zone,wvo_minus_tpg,wvo_residual,tpg_residual
NGC4013,5.49,198.0,10.0,160.10672977735825,193.76211597911944,197.47638698193927,194.5280388386365,194.0971832524612,191.80368826958824,192.9386609825046,0.0,0.3033194879448775,0.3533568904593639,1.0,0.0,0.0,0.0,193.76211597911944,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,inner_pre_warp_window,0.0,-4.237884020880557,-4.237884020880557
NGC4013,6.17,195.0,5.0,164.22333147272346,200.50158514555804,204.2874906511374,201.43614747520735,200.88130638869575,198.32853834825613,199.57511570895264,0.0,0.2792246512176745,0.3271537622682661,0.9314814814814816,0.0,0.0,0.0,200.50158514555804,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,inner_pre_warp_window,0.0,5.501585145558039,5.501585145558039
NGC4013,6.92,194.0,4.0,166.28152191389157,205.5400356321617,209.32801015818936,206.6862694276128,205.96847551484936,203.12773712277055,204.49803026525183,0.0,0.256731267631333,0.3024193548387097,0.7925925925925925,0.0,0.0,0.0,205.5400356321617,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,inner_pre_warp_window,0.0,11.540035632161704,11.540035632161704
NGC4013,7.69,195.0,3.0,166.75022479744968,209.0779704538197,212.81051655041065,210.46878439433553,209.55467765552712,206.42370377605764,207.91814429332825,0.0,0.2371202913662112,0.2806361085126286,0.6499999999999999,0.0,0.0,0.0,209.0779704538197,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,inner_pre_warp_window,0.0,14.077970453819688,14.077970453819688
NGC4013,8.36,195.0,3.0,165.5469037161372,210.59636344323175,214.2240530294019,212.22734835044616,211.11470008506663,207.7285083067463,209.33213536389343,0.0,0.2223419422625301,0.2640845070422535,0.5259259259259259,0.0,0.0,0.0,210.59636344323175,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,inner_pre_warp_window,0.0,15.596363443231752,15.596363443231752
NGC4013,9.12,195.0,3.0,162.65998592155356,210.8277887587793,214.2827639583525,212.76527025368551,211.39317772075023,207.71347802333844,209.4427459357969,0.0,0.2076610946673783,0.2475247524752475,0.3851851851851852,0.0,0.0,0.0,210.8277887587793,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,inner_pre_warp_window,0.0,15.827788758779292,15.827788758779292
NGC4013,9.88,192.0,7.0,157.09293873373176,208.51382680035871,211.70998287138536,210.81082269105707,209.1298738133695,205.1281224025808,206.9963464368703,0.0,0.194798867857523,0.2329192546583851,0.2444444444444442,0.0,0.0,0.0,208.51382680035871,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,inner_pre_warp_window,0.0,16.513826800358714,16.513826800358714
NGC4013,10.56,188.0,8.0,149.88698652651604,204.28531305430064,207.1938359584078,206.960921900581,204.95143463454,200.62679480125385,202.63542562073312,0.4500740740740751,0.1845702256352477,0.2212389380530973,0.1185185185185183,0.0786620986935533,0.0170276591147892,-710.6065989120689,202.53859516344423,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,transition_warp_window,-1.7467178908564165,14.538595163444228,16.285313054300644
NGC4013,11.31,186.0,7.0,142.82472363004942,200.2125416781364,202.8697712552352,203.3402166258217,200.93077553792332,196.26751667383303,198.42241811076124,1.0,0.1744661830044522,0.2096436058700209,0.0,0.128036596291491,0.0277155523699251,-1110.9796308228688,197.4185457711525,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-2.793995906983895,11.418545771152509,14.212541678136404
NGC4013,12.08,186.0,6.0,136.64702814185165,196.7834014689962,199.26624437577357,200.40858594380708,197.5508001274736,192.5660400612335,194.8585805329439,1.0,0.1651823639833695,0.1989389920424403,0.0,0.1213737853419366,0.0262732812447003,-1017.3988473103892,194.1811222709297,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-2.6022791980664977,8.181122270929706,10.783401468996203
NGC4013,12.77,186.0,5.0,131.95662726820507,194.3078525883512,196.70336068454304,198.4052036508328,195.1153083623937,189.86753096942363,192.27152792928104,1.0,0.1576642814755454,0.1902346227013316,0.0,0.1159663013922923,0.0251027455624279,-947.767753791566,191.85352179124797,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-2.454330797103239,5.853521791247971,8.30785258835121
NGC4013,13.47,185.0,6.0,128.01845327920503,192.40532223782853,194.77196905544645,197.0028760649589,193.24906395317367,187.76268228285903,190.26650918464424,1.0,0.1507056797581336,0.1821493624772313,0.0,0.1109516807451216,0.0240172513741447,-889.1140351696376,190.08075649647705,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-2.3245657413514778,5.080756496477051,7.405322237828528
