post_halo_rank,predeclared_rank,galaxy,transfer_priority_score,chi2_ISO,chi2_NFW,chi2_ISO_over_NFW,nfw_preference_load,transfer_priority_class,still_missing_fields,next_source_gate,endpoint_scores_allowed,uses_vobs_or_residual_for_priority,claim_boundary
1,4,NGC0891,0.7596656846869413,4.24,3.46,1.2254335260115607,0.2254335260115607,PRIMARY_NFW_PREFERENCE_TRANSFER_TARGET,lambda_spin;PV/envelope method notes;independent replay freeze,acquire_lambda_spin_and_pv_envelope_evidence_first,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
2,11,NGC7331,0.422193566493469,0.95,0.81,1.1728395061728394,0.1728395061728393,PRIMARY_NFW_PREFERENCE_TRANSFER_TARGET,lambda_spin;PV/envelope method notes;independent replay freeze,acquire_lambda_spin_and_pv_envelope_evidence_first,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
3,6,NGC2841,0.669506742261588,1.58,1.48,1.0675675675675675,0.0675675675675675,WEAK_NFW_PREFERENCE_TRANSFER_TARGET,lambda_spin;PV/envelope method notes;independent replay freeze,hold_as_secondary_transfer_or_control_until_spin_pv_available,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
4,9,NGC0801,0.5060064205084938,7.07,6.77,1.0443131462333828,0.0443131462333827,WEAK_NFW_PREFERENCE_TRANSFER_TARGET,lambda_spin;PV/envelope method notes;independent replay freeze,hold_as_secondary_transfer_or_control_until_spin_pv_available,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
5,5,NGC4013,0.7091811577613378,0.84,0.81,1.037037037037037,0.0370370370370369,WEAK_NFW_PREFERENCE_TRANSFER_TARGET,lambda_spin;PV/envelope method notes;independent replay freeze,hold_as_secondary_transfer_or_control_until_spin_pv_available,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
6,1,UGC11455,0.9016310763031437,2.4,5.4,0.4444444444444444,0.0,PISO_PREFERRED_CONTROL_OR_ALTERNATIVE_BRANCH,lambda_spin;PV/envelope method notes;independent replay freeze,do_not_run_beta_cl_replay; use_as_control_or_reclassify_branch,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
7,2,ESO563-G021,0.8452326608304704,12.37,19.15,0.6459530026109661,0.0,PISO_PREFERRED_CONTROL_OR_ALTERNATIVE_BRANCH,lambda_spin;PV/envelope method notes;independent replay freeze,do_not_run_beta_cl_replay; use_as_control_or_reclassify_branch,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
8,3,IC4202,0.8161776432040719,8.67,20.17,0.429846306395637,0.0,PISO_PREFERRED_CONTROL_OR_ALTERNATIVE_BRANCH,lambda_spin;PV/envelope method notes;independent replay freeze,do_not_run_beta_cl_replay; use_as_control_or_reclassify_branch,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
9,7,NGC4157,0.6241768735316376,0.45,0.49,0.9183673469387756,0.0,PISO_PREFERRED_CONTROL_OR_ALTERNATIVE_BRANCH,lambda_spin;PV/envelope method notes;independent replay freeze,do_not_run_beta_cl_replay; use_as_control_or_reclassify_branch,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
10,8,NGC4217,0.513690530091596,2.23,3.74,0.5962566844919786,0.0,PISO_PREFERRED_CONTROL_OR_ALTERNATIVE_BRANCH,lambda_spin;PV/envelope method notes;independent replay freeze,do_not_run_beta_cl_replay; use_as_control_or_reclassify_branch,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
11,10,NGC3521,0.499023526596817,0.2,0.25,0.8,0.0,PISO_PREFERRED_CONTROL_OR_ALTERNATIVE_BRANCH,lambda_spin;PV/envelope method notes;independent replay freeze,do_not_run_beta_cl_replay; use_as_control_or_reclassify_branch,False,False,ugc12506_beta_closure_transfer_priority_gate_not_endpoint
