galaxy,radius_kpc,vobs_kms,errv_kms,v_baryon_050_kms,v_source_native_nfw_hse_positive_kms,v_nfw_hse_all_point_normalized_kms,v_nfw_hse_train_normalized_kms,beta_all_point_v2,beta_train_split_v2,is_holdout_point,diagnostic_used_vobs_or_residual,endpoint_validation_claim,claim_boundary
UGC12506,0.82,107.0,25.6,24.50672152696072,54.16659881064967,98.21016030903209,98.61455424540337,3.8761023245841977,3.910212773566023,True,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
UGC12506,2.46,159.0,26.5,60.784518588206325,96.37395661334467,159.2937623649972,159.8914903029089,3.8761023245841977,3.910212773566023,False,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
UGC12506,4.1,194.0,13.9,82.39705607605165,120.25187486866028,191.1119579268616,191.79533324392253,3.8761023245841977,3.910212773566023,False,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
UGC12506,5.74,198.0,14.6,94.39728915599218,133.97466083057077,209.6293452589931,210.3634116572147,3.8761023245841977,3.910212773566023,True,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
UGC12506,7.38,211.0,13.2,102.35647707888349,142.93610444976235,221.4929159928843,222.25805543105335,3.8761023245841977,3.910212773566023,False,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
UGC12506,9.02,222.0,13.6,112.64485474268233,152.51009957136932,231.64860386908583,232.42555594352413,3.8761023245841977,3.910212773566023,False,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
UGC12506,10.65,230.0,11.6,120.1045819275851,159.39205616452023,238.72053360914813,239.50375853537102,3.8761023245841977,3.910212773566023,True,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
UGC12506,12.29,239.0,11.6,124.85068061488492,163.8237840457234,243.30214919247976,244.08952612615354,3.8761023245841977,3.910212773566023,False,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
UGC12506,13.93,237.0,11.6,127.22469276834588,166.14422953067793,245.85080019848706,246.6416056702723,3.8761023245841977,3.910212773566023,False,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
UGC12506,15.57,240.0,11.6,130.79888703654936,169.17115758386203,248.4438519295692,249.2327766691013,3.8761023245841977,3.910212773566023,True,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
UGC12506,17.21,245.0,11.6,133.87144785203455,171.6685393279122,250.36936872336557,251.15482494719404,3.8761023245841977,3.910212773566023,False,True,False,ugc12506_source_native_nfw_hse_residual_normalization_diagnostic_only
